Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2022,AQS,490494001,2,0.035,ppm,32,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/2/2022,AQS,490494001,2,0.033,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/3/2022,AQS,490494001,2,0.037,ppm,34,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/4/2022,AQS,490494001,2,0.029,ppm,27,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/5/2022,AQS,490494001,2,0.036,ppm,33,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/6/2022,AQS,490494001,2,0.033,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/7/2022,AQS,490494001,2,0.037,ppm,34,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/8/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/9/2022,AQS,490494001,2,0.032,ppm,30,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/10/2022,AQS,490494001,2,0.022,ppm,20,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/11/2022,AQS,490494001,2,0.02,ppm,19,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/12/2022,AQS,490494001,2,0.019,ppm,18,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/13/2022,AQS,490494001,2,0.009,ppm,8,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/14/2022,AQS,490494001,2,0.025,ppm,23,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/15/2022,AQS,490494001,2,0.03,ppm,28,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/16/2022,AQS,490494001,2,0.029,ppm,27,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/17/2022,AQS,490494001,2,0.022,ppm,20,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/18/2022,AQS,490494001,2,0.01,ppm,9,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/19/2022,AQS,490494001,2,0.018,ppm,17,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/20/2022,AQS,490494001,2,0.026,ppm,24,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/21/2022,AQS,490494001,2,0.028,ppm,26,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/22/2022,AQS,490494001,2,0.028,ppm,26,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/23/2022,AQS,490494001,2,0.029,ppm,27,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/24/2022,AQS,490494001,2,0.026,ppm,24,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/25/2022,AQS,490494001,2,0.025,ppm,23,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/26/2022,AQS,490494001,2,0.033,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/27/2022,AQS,490494001,2,0.029,ppm,27,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/28/2022,AQS,490494001,2,0.03,ppm,28,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/29/2022,AQS,490494001,2,0.03,ppm,28,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/30/2022,AQS,490494001,2,0.028,ppm,26,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
1/31/2022,AQS,490494001,2,0.037,ppm,34,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/1/2022,AQS,490494001,2,0.038,ppm,35,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/2/2022,AQS,490494001,2,0.036,ppm,33,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/3/2022,AQS,490494001,2,0.033,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/4/2022,AQS,490494001,2,0.031,ppm,29,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/5/2022,AQS,490494001,2,0.037,ppm,34,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/6/2022,AQS,490494001,2,0.038,ppm,35,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/7/2022,AQS,490494001,2,0.029,ppm,27,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/8/2022,AQS,490494001,2,0.029,ppm,27,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/9/2022,AQS,490494001,2,0.034,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/10/2022,AQS,490494001,2,0.032,ppm,30,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/11/2022,AQS,490494001,2,0.034,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/12/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/13/2022,AQS,490494001,2,0.035,ppm,32,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/14/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/15/2022,AQS,490494001,2,0.038,ppm,35,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/16/2022,AQS,490494001,2,0.036,ppm,33,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/17/2022,AQS,490494001,2,0.033,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/18/2022,AQS,490494001,2,0.035,ppm,32,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/19/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/20/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/21/2022,AQS,490494001,2,0.039,ppm,36,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/22/2022,AQS,490494001,2,0.038,ppm,35,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/23/2022,AQS,490494001,2,0.034,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/24/2022,AQS,490494001,2,0.041,ppm,38,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/25/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/26/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/27/2022,AQS,490494001,2,0.041,ppm,38,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
2/28/2022,AQS,490494001,2,0.037,ppm,34,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/1/2022,AQS,490494001,2,0.034,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/2/2022,AQS,490494001,2,0.031,ppm,29,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/3/2022,AQS,490494001,2,0.041,ppm,38,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/4/2022,AQS,490494001,2,0.048,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/5/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/6/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/7/2022,AQS,490494001,2,0.043,ppm,40,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/8/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/9/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/10/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/11/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/12/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/13/2022,AQS,490494001,2,0.043,ppm,40,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/14/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/15/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/16/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/17/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/18/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/19/2022,AQS,490494001,2,0.047,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/20/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/21/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/22/2022,AQS,490494001,2,0.044,ppm,41,Lindon,13,76,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/23/2022,AQS,490494001,2,0.048,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/24/2022,AQS,490494001,2,0.039,ppm,36,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/25/2022,AQS,490494001,2,0.041,ppm,38,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/26/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/27/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/28/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/29/2022,AQS,490494001,2,0.038,ppm,35,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/30/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
3/31/2022,AQS,490494001,2,0.036,ppm,33,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/1/2022,AQS,490494001,2,0.05,ppm,46,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/2/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/3/2022,AQS,490494001,2,0.053,ppm,49,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/4/2022,AQS,490494001,2,0.043,ppm,40,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/5/2022,AQS,490494001,2,0.046,ppm,43,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/6/2022,AQS,490494001,2,0.048,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/7/2022,AQS,490494001,2,0.047,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/8/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/9/2022,AQS,490494001,2,0.049,ppm,45,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/10/2022,AQS,490494001,2,0.047,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/11/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/12/2022,AQS,490494001,2,0.04,ppm,37,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/13/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/14/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/15/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/16/2022,AQS,490494001,2,0.042,ppm,39,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/17/2022,AQS,490494001,2,0.046,ppm,43,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/18/2022,AQS,490494001,2,0.052,ppm,48,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/19/2022,AQS,490494001,2,0.048,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/20/2022,AQS,490494001,2,0.052,ppm,48,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/21/2022,AQS,490494001,2,0.052,ppm,48,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/22/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/23/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/24/2022,AQS,490494001,2,0.047,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/25/2022,AQS,490494001,2,0.051,ppm,47,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/26/2022,AQS,490494001,2,0.057,ppm,58,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/27/2022,AQS,490494001,2,0.056,ppm,54,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/28/2022,AQS,490494001,2,0.054,ppm,50,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/29/2022,AQS,490494001,2,0.053,ppm,49,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
4/30/2022,AQS,490494001,2,0.051,ppm,47,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/1/2022,AQS,490494001,2,0.046,ppm,43,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/2/2022,AQS,490494001,2,0.052,ppm,48,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/3/2022,AQS,490494001,2,0.047,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/4/2022,AQS,490494001,2,0.037,ppm,34,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/5/2022,AQS,490494001,2,0.047,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/6/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/7/2022,AQS,490494001,2,0.051,ppm,47,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/8/2022,AQS,490494001,2,0.047,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/9/2022,AQS,490494001,2,0.046,ppm,43,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/10/2022,AQS,490494001,2,0.054,ppm,50,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/11/2022,AQS,490494001,2,0.055,ppm,51,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/12/2022,AQS,490494001,2,0.046,ppm,43,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/13/2022,AQS,490494001,2,0.048,ppm,44,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/14/2022,AQS,490494001,2,0.046,ppm,43,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/15/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/16/2022,AQS,490494001,2,0.033,ppm,31,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/17/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/18/2022,AQS,490494001,2,0.05,ppm,46,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/19/2022,AQS,490494001,2,0.045,ppm,42,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/20/2022,AQS,490494001,2,0.046,ppm,43,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/21/2022,AQS,490494001,2,0.049,ppm,45,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/22/2022,AQS,490494001,2,0.052,ppm,48,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/23/2022,AQS,490494001,2,0.05,ppm,46,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/24/2022,AQS,490494001,2,0.051,ppm,47,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/25/2022,AQS,490494001,2,0.056,ppm,54,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/26/2022,AQS,490494001,2,0.044,ppm,41,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
5/27/2022,AQS,490494001,2,0.049,ppm,45,Lindon,17,100,44201,Ozone,39340,"Provo-Orem, UT",49,Utah,49,Utah,40.341389,-111.713611
